File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.0971e+00 2.4701e-04 1.2992e-04
2.0974e+00 2.3407e-04 1.3282e-04
2.0977e+00 2.5904e-04 1.5873e-04
2.0979e+00 2.3229e-04 2.3857e-04
2.0982e+00 2.6841e-04 1.2781e-04
2.0984e+00 2.3633e-04 1.3753e-04
2.0987e+00 2.3177e-04 1.4558e-04
2.0990e+00 2.4817e-04 1.3279e-04
2.0992e+00 2.6176e-04 1.5213e-04
2.0995e+00 2.3275e-04 1.5217e-04
2.0998e+00 2.3751e-04 1.2061e-04
2.1000e+00 2.3279e-04 1.3610e-04
2.1003e+00 2.4465e-04 4.3311e-04
2.1006e+00 2.7676e-04 1.2724e-04
2.1008e+00 2.5253e-04 1.2637e-04
2.1011e+00 2.6628e-04 1.4035e-04
2.1014e+00 3.0249e-04 1.3162e-04
2.1016e+00 2.6585e-04 1.6907e-04
2.1019e+00 2.5218e-04 2.0851e-04
2.1021e+00 2.4006e-04 1.4283e-04
2.1024e+00 2.4637e-04 1.4604e-04
2.1027e+00 2.2467e-04 1.3867e-04
2.1029e+00 2.2737e-04 1.9102e-04
2.1032e+00 2.5272e-04 1.5515e-04
2.1035e+00 2.4762e-04 1.3320e-04
2.1037e+00 2.5278e-04 1.2437e-04
2.1040e+00 2.3958e-04 1.5501e-04
2.1043e+00 3.1451e-04 1.3842e-04
2.1045e+00 2.8609e-04 1.3032e-04
2.1048e+00 2.5357e-04 1.3050e-04
2.1051e+00 5.1373e-05 1.4273e-04
2.1053e+00 2.0080e-04 1.8497e-04
2.1056e+00 2.4132e-04 1.3089e-04
2.1058e+00 2.5774e-04 1.3203e-04
2.1061e+00 1.5336e-04 1.5530e-04
2.1064e+00 -8.2924e-05 1.5020e-04
2.1066e+00 1.4113e-04 1.3140e-04
2.1069e+00 2.7103e-04 1.3756e-04
2.1072e+00 2.9332e-04 1.2806e-04
2.1074e+00 2.7997e-04 1.4130e-04
2.1077e+00 2.8262e-04 1.2645e-04
2.1080e+00 2.2912e-04 1.6533e-04
2.1082e+00 2.3161e-04 1.4176e-04
2.1085e+00 2.2118e-04 1.2956e-04
2.1088e+00 2.2374e-04 1.3507e-04
2.1090e+00 2.5425e-04 1.3651e-04
